Class,f_ck,f_cube,f_cm,f_ctm,f_ck_0.05,f_ck_0.905,E_cm,eps_c1,eps_cu1,eps_c2,eps_cu2,n,eps_c3,eps_cu3
C12/15,12,15,20,1.5724448365253378,1.1007113855677364,2.0441782874829393,27.085177093588158,1.771810775885091,3.5,2.0,3.5,2.0,1.75,3.5
C16/20,16,20,24,1.9048812623618392,1.3334168836532874,2.4763456410703912,28.607904894961404,1.8748370396696974,3.5,2.0,3.5,2.0,1.75,3.5
C20/25,20,25,28,2.2104188991842317,1.547293229428962,2.873544568939501,29.96195105464031,1.9666045051940386,3.5,2.0,3.5,2.0,1.75,3.5
C25/30,25,30,33,2.564963920015045,1.7954747440105314,3.334453096019559,31.475806210019346,2.0693662482105193,3.5,2.0,3.5,2.0,1.75,3.5
C30/37,30,37,38,2.896468153816889,2.027527707671822,3.765408599961956,32.83656803133079,2.1618768697354804,3.5,2.0,3.5,2.0,1.75,3.5
C35/45,35,45,43,3.209962441695238,2.2469737091866664,4.17295117420381,34.07714619918933,2.246328469196467,3.5,2.0,3.5,2.0,1.75,3.5
C40/50,40,50,48,3.5088212858554386,2.456174900098807,4.56146767161207,35.220462288934414,2.324249914209339,3.5,2.0,3.5,2.0,1.75,3.5
C45/55,45,55,53,3.795446993857871,2.6568128957005097,4.934081092015233,36.283188218914134,2.3967545449312704,3.5,2.0,3.5,2.0,1.75,3.5
C50/60,50,60,58,4.071626424892359,2.850138497424651,5.2931143523600666,37.27786909161466,2.4646810048680776,3.5,2.0,3.5,2.0,1.75,3.5
C55/67,55,67,63,4.214293618087213,2.950005532661049,5.4785817035133775,38.214206461639,2.528678467081443,3.20516875,2.199467905775048,3.12521875,1.7511462499999997,1.81875,3.12521875
C60/75,60,75,68,4.354742315434558,3.0483196208041905,5.661165010064926,39.099873708049074,2.5892608390866876,3.0187,2.2880175327183223,2.8835,1.58954,1.8875,2.8835
C70/85,70,85,78,4.610473649546422,3.227331554682495,5.993615744410349,40.742817784548976,2.7017637279883995,2.8432,2.4158769243143414,2.656,1.4374399999999998,2.025,2.656
C80/95,80,95,88,4.838650657634236,3.3870554603439653,6.290245854924508,42.24423816893582,2.8,2.8026999999999997,2.515576591108743,2.6035,1.40234,2.1625,2.6035
C90/105,90,105,98,5.044637804355969,3.531246463049178,6.55802914566276,43.63053150065806,2.8,2.8,2.6004968327615767,2.6,1.4,2.3,2.6
