695971,152015,29304,-641026,146520,-1832,-238095,73260,9158,183150,67766,18315
152015,49908,5495,-146520,23352,-0,-73260,13278,0,67766,23352,0
29304,5495,16484,-1832,0,1832,-9158,0,7326,-18315,-0,1832
-641026,-146520,-1832,695971,-152015,29304,183150,-67766,18315,-238095,-73260,9158
146520,23352,0,-152015,49908,-5495,-67766,23352,-0,73260,13278,-0
-1832,-0,1832,29304,-5495,16484,-18315,0,1832,-9158,-0,7326
-238095,-73260,-9158,183150,-67766,-18315,695971,-152015,-29304,-641026,-146520,1832
73260,13278,0,-67766,23352,0,-152015,49908,5495,146520,23352,-0
9158,0,7326,18315,-0,1832,-29304,5495,16484,1832,0,1832
183150,67766,-18315,-238095,73260,-9158,-641026,146520,1832,695971,152015,-29304
67766,23352,-0,-73260,13278,-0,-146520,23352,0,152015,49908,-5495
18315,0,1832,9158,-0,7326,1832,-0,1832,-29304,-5495,16484
